time,cum_d_prec,cum_d_rfal,cum_d_sfal,cum_d_rint,cum_d_sint,cum_d_rthr,cum_d_sthr,cum_d_rsno,cum_d_rnet,cum_d_smlt,cum_d_tran,cum_d_irvp,cum_d_isvp,cum_d_slvp,cum_d_snvp,cum_d_pint,cum_d_ptran,evap,flow,seep,srfl,slfl,byfl,dsfl,gwfl,vrfln,StorageSWAT,StorageWATER,BALERD_SWAT,BALERD_total
2010-01-01T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.8514442354913,1101.8514442354913,0.0,0.0
2010-01-02T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541093677683974,0.0,0.0,0.010628230561805322,0.0,5.052301917658028,1.541093677683974,1.5517219082457794,0.009950222329876017,0.0,0.0,0.0,0.0,0.0,0.009950222329876017,1.1253225977617546e-5,1100.8514442354913,1101.8514442354913,0.0,0.0
2010-01-03T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4199182588099233,0.0,0.0,0.005790052307305775,0.0,5.063614361959904,1.5469014872867237,1.425708311117229,0.009851327934930326,0.0,0.0,0.0,0.0,0.0,0.009851327934930326,1.1253225977617522e-5,1099.2997110740193,1100.2897721049155,1.7252865802674933e-13,8.837375276016246e-14
2010-01-04T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923385039625666,0.0,0.0,0.004169771066259403,0.0,5.075600656683293,1.5525740784346704,1.096508275028826,0.009753417555655659,0.0,0.0,0.0,0.0,0.0,0.009753417555655659,1.1253225977617543e-5,1097.8739915096762,1098.8542124658634,-8.08242361927114e-14,-1.532107773982716e-14
2010-01-05T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731732801656825,0.0,0.0,0.003476188369252134,0.0,5.088496674303486,1.5585034105001752,0.8766494685349346,0.009656481400932436,0.0,0.0,0.0,0.0,0.0,0.009656481400932436,1.1253225977617543e-5,1096.7774719814213,1097.7479507732787,1.2656542480726785e-13,1.851852005074761e-13
2010-01-06T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282570587012605,0.0,0.0,0.003069038491163684,0.0,5.102356457832804,1.5648194490255303,0.7313260971924241,0.009560509777064366,0.0,0.0,0.0,0.0,0.0,0.009560509777064366,1.1253225977617465e-5,1095.9008112596605,1096.861644823343,-1.1246559239452836e-13,-2.630118345336996e-13
2010-01-07T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265379545529043,0.0,0.0,0.002793725760945494,0.0,5.117185889763457,1.5715526321728701,0.6293316803138498,0.009465493086809204,0.0,0.0,0.0,0.0,0.0,0.009465493086809204,1.1253225977617465e-5,1095.169473909242,1096.1207582163734,6.927791673660977e-14,2.639000129533997e-13
2010-01-08T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551346507408277,0.0,0.0,0.002592342228875231,0.0,5.132981145453232,1.5787121730538076,0.5539388496371522,0.00937142182841869,0.0,0.0,0.0,0.0,0.0,0.00937142182841869,1.1253225977617465e-5,1094.5401309757021,1095.4819610429727,4.674038933671909e-14,3.064215547965432e-14
2010-01-09T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934789958565331,0.0,0.0,0.00243752795447922,0.0,5.149735053129692,1.5863003481916125,0.4959165238110123,0.009278286594688582,0.0,0.0,0.0,0.0,0.0,0.009278286594688582,1.1253225977617465e-5,1093.9861808728392,1094.9186507715074,-2.0239365738916604e-13,-2.731148640577885e-13
2010-01-10T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44752255749356984,0.0,0.0,0.002314394331707917,0.0,5.1674387796564565,1.5943164807264723,0.4498369518252778,0.009186078072017967,0.0,0.0,0.0,0.0,0.0,0.009186078072017967,1.1253225977617543e-5,1093.490253095802,1094.4134559611014,2.0555779300934773e-13,3.093081346605686e-13
2010-01-11T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101033548323041,0.0,0.0,0.002214028351123368,0.0,5.186082422096826,1.6027583739348157,0.4123173831834275,0.009094787039477603,0.0,0.0,0.0,0.0,0.0,0.009094787039477603,1.1253225977617543e-5,1093.0404048907508,1093.954432931204,-1.6042722705833512e-14,-4.29101199017623e-14
2010-01-12T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3790132188001929,0.0,0.0,0.0021307130845700955,0.0,5.205655259857035,1.6116229221882454,0.381143931884763,0.009004404367888231,0.0,0.0,0.0,0.0,0.0,0.009004404367888231,1.1253225977617543e-5,1092.6280762543413,1093.5330207609811,7.87148124459236e-14,8.809619700400617e-14
